node_id,layer,velocity_ms,altitude_km,doppler_hz,rssi_dbm,velocity_deviation,gps_distance_km,timestamp_delta_ms,traffic_encoded,layer_encoded,is_spoofed
LEO_01,LEO,7800.62,550,-34040.82,-83.84,0.62,49.8517,1003,0,1,0
LEO_01,LEO,7804.75,550,44321.51,-84.92,4.75,49.7281,1003,0,1,0
MEO_01,MEO,3890.79,8000,9138.9,-93.75,9.21,52.9766,975,0,2,0
LEO_01,LEO,7803.26,550,-17121.4,-82.78,3.26,44.2989,1023,0,1,0
MEO_01,MEO,3899.28,8000,-359.44,-93.88,0.72,54.4272,0,2,2,1
HAPS_01,HAPS,11.24,20,-226.89,-64.16,3.76,48.5063,969,0,0,0
MEO_01,MEO,3903.48,8000,9496.48,-92.82,3.48,64.1443,980,0,2,0
GEO_01,GEO,3104.38,35786,181.64,-102.08,4.38,33.4475,988,0,3,0
HAPS_01,HAPS,10.73,20,355.51,-66.43,4.27,37.0012,975,0,0,0
GEO_01,GEO,3103.44,35786,117.96,-104.65,3.44,59.6088,0,2,3,1
HAPS_01,HAPS,13.41,20,-211.0,-65.74,1.59,58.0607,989,0,0,0
HAPS_01,HAPS,10.84,20,-256.03,-65.01,4.16,66.1763,1017,0,0,0
LEO_01,LEO,7790.14,550,-30132.95,-83.32,9.86,16.5794,957,0,1,0
HAPS_01,HAPS,22.64,20,-204.09,-63.46,7.64,22.8088,1048,0,0,0
GEO_01,GEO,3097.39,35786,-105.72,-102.84,2.61,47.2519,1002,0,3,0
HAPS_01,HAPS,1.31,20,-109.02,-62.04,13.69,4696.6105,983,2,0,1
MEO_01,MEO,3903.7,8000,7023.64,-95.01,3.7,56.9162,959,0,2,0
MEO_01,MEO,3903.66,8000,3248.84,-95.37,3.66,56.1847,1033,0,2,0
LEO_01,LEO,7800.18,550,47450.57,-85.98,0.18,56.4901,970,0,1,0
LEO_01,LEO,7791.31,550,38339.8,-82.78,8.69,54.379,991,0,1,0
HAPS_01,HAPS,10.06,20,-124.55,-64.04,4.94,40.5974,0,2,0,1
LEO_01,LEO,7793.58,550,-6346.66,-86.36,6.42,53.7896,1034,0,1,0
HAPS_01,HAPS,16.41,20,-327.14,-66.39,1.41,9.0473,993,0,0,0
MEO_01,MEO,3902.11,8000,-9900.16,-95.27,2.11,47.8453,1030,0,2,0
HAPS_01,HAPS,7.65,20,226.41,-62.11,7.35,57.8851,1011,0,0,0
LEO_01,LEO,7798.14,550,13985.22,-84.13,1.86,15.7184,1034,0,1,0
GEO_01,GEO,3109.71,35786,952.92,-103.14,9.71,51.2484,951,0,3,0
HAPS_01,HAPS,18.94,20,-459.67,-62.98,3.94,50.936,995,0,0,0
HAPS_01,HAPS,19.06,20,-399.8,-66.24,4.06,44.5674,1021,0,0,0
GEO_01,GEO,3095.76,35786,783.7,-105.54,4.24,46.0046,1011,0,3,0
HAPS_01,HAPS,11.29,20,443.51,-67.95,3.71,25.9156,974,0,0,0
HAPS_01,HAPS,14.06,20,-34.22,-66.5,0.94,50.0923,1006,0,0,0
HAPS_01,HAPS,13.72,20,-156.85,-65.35,1.28,43.4423,978,0,0,0
GEO_01,GEO,3095.94,35786,428.68,-106.52,4.06,17.2065,1045,2,3,0
MEO_01,MEO,3897.44,8000,-6509.62,-94.6,2.56,11.9234,1046,0,2,0
GEO_01,GEO,3106.2,35786,-966.08,-102.59,6.2,35.7656,981,0,3,0
LEO_01,LEO,7805.33,550,-33664.49,-83.85,5.33,32.0812,959,1,1,0
GEO_01,GEO,3106.19,35786,-115.61,-102.35,6.19,37.8752,996,1,3,0
HAPS_01,HAPS,23.91,20,135.17,-62.12,8.91,29.2551,991,0,0,0
LEO_01,LEO,7809.46,550,-31336.26,-86.63,9.46,37.9538,1030,0,1,0
LEO_01,LEO,7803.75,550,-18940.1,-84.2,3.75,5250.7808,1022,2,1,1
MEO_01,MEO,3905.76,8000,-1294.89,-94.18,5.76,65.4459,950,0,2,0
GEO_01,GEO,3094.55,35786,679.58,-103.06,5.45,39.0979,1012,1,3,0
HAPS_01,HAPS,23.69,20,293.59,-63.82,8.69,49.9558,954,0,0,0
MEO_01,MEO,3905.92,8000,7134.53,-97.5,5.92,50.867,958,0,2,0
HAPS_01,HAPS,23.6,20,276.52,-65.41,8.6,50.6724,988,0,0,0
LEO_01,LEO,7800.36,550,-15783.64,-86.57,0.36,59.5569,1020,0,1,0
HAPS_01,HAPS,15.43,20,477.93,-67.25,0.43,28.7887,973,0,0,0
MEO_01,MEO,3895.8,8000,4841.53,-95.25,4.2,15.1942,955,0,2,0
LEO_01,LEO,7795.87,550,45031.3,-84.15,4.13,37.8046,1006,0,1,0
HAPS_01,HAPS,11.57,20,-352.45,-62.6,3.43,51.2921,966,0,0,0
MEO_01,MEO,3900.45,8000,-7892.02,-97.37,0.45,59.598,978,1,2,0
MEO_01,MEO,3907.59,8000,6980.46,-92.69,7.59,51.5542,966,0,2,0
MEO_01,MEO,3895.89,8000,-485.49,-95.89,4.11,21.6207,0,2,2,1
LEO_01,LEO,7798.48,550,-23498.5,-87.48,1.52,62.192,1021,0,1,0
HAPS_01,HAPS,23.23,20,55.45,-64.37,8.23,36.1953,1000,0,0,0
LEO_01,LEO,7808.18,550,29877.31,-87.95,8.18,54.7315,1049,0,1,0
MEO_01,MEO,7561.47,8000,2814.15,-97.38,3661.47,67.6043,1004,2,2,1
LEO_01,LEO,7799.39,550,9693.68,-88.0,0.61,41.2885,988,0,1,0
MEO_01,MEO,3904.65,8000,-1495.0,-93.22,4.65,45.7415,956,0,2,0
GEO_01,GEO,3107.63,35786,227.55,-103.59,7.63,56.7156,1011,0,3,0
HAPS_01,HAPS,13.56,20,381.35,-63.84,1.44,26.402,1028,0,0,0
GEO_01,GEO,3094.46,35786,861.48,-105.11,5.54,48.7823,1022,0,3,0
LEO_01,LEO,7807.51,550,15464.38,-82.18,7.51,12.7507,983,0,1,0
GEO_01,GEO,3099.38,35786,-660.47,-106.26,0.62,73.3542,994,0,3,0
HAPS_01,HAPS,22.12,20,-69.1,-62.66,7.12,29.3157,1028,0,0,0
HAPS_01,HAPS,9.06,20,-442.98,-64.13,5.94,56.6925,1003,0,0,0
HAPS_01,HAPS,9.72,20,243.57,-66.43,5.28,46.8224,997,0,0,0
HAPS_01,HAPS,8.86,20,-412.71,-62.78,6.14,38.4807,1021,0,0,0
GEO_01,GEO,3097.83,35786,833.66,-102.37,2.17,46.7395,1047,0,3,0
HAPS_01,HAPS,17.01,20,-100.44,-69.34,2.01,5183.4487,961,2,0,1
GEO_01,GEO,3105.58,35786,458.51,-104.46,5.58,5882.6423,1047,2,3,1
MEO_01,MEO,3894.67,8000,-9152.88,-95.75,5.33,13.03,1020,0,2,0
HAPS_01,HAPS,13.85,20,-493.96,-62.78,1.15,36.3254,968,0,0,0
MEO_01,MEO,3905.38,8000,8603.96,-95.45,5.38,38.3055,981,0,2,0
GEO_01,GEO,3095.6,35786,-814.35,-104.83,4.4,42.693,965,0,3,0
GEO_01,GEO,3090.05,35786,518.98,-106.02,9.95,48.5971,975,0,3,0
LEO_01,LEO,7803.17,550,-39300.21,-88.0,3.17,30.5544,1029,0,1,0
MEO_01,MEO,3890.59,8000,773.36,-95.38,9.41,30.6208,1006,0,2,0
MEO_01,MEO,3899.55,8000,-6360.55,-94.74,0.45,57.1585,959,0,2,0
HAPS_01,HAPS,13.68,20,-491.64,-67.74,1.32,57.0174,1031,0,0,0
GEO_01,GEO,3109.29,35786,696.29,-104.5,9.29,67.845,0,2,3,1
LEO_01,LEO,7796.57,550,-8225.88,-84.91,3.43,55.7035,974,0,1,0
LEO_01,LEO,7809.87,550,-15061.28,-86.96,9.87,24.7872,1004,0,1,0
LEO_01,LEO,7804.09,550,49750.01,-87.12,4.09,31.5424,988,1,1,0
MEO_01,MEO,3890.87,8000,238.47,-94.02,9.13,66.5914,1001,0,2,0
HAPS_01,HAPS,16.7,20,42.3,-64.86,1.7,4917.3295,1011,2,0,1
LEO_01,LEO,7799.63,550,27219.5,-83.11,0.37,5992.3556,986,2,1,1
LEO_01,LEO,7790.28,550,11588.56,-83.8,9.72,35.6321,0,2,1,1
MEO_01,MEO,3906.67,8000,19.56,-94.99,6.67,36.1175,1049,0,2,0
LEO_01,LEO,7790.1,550,25390.46,-83.89,9.9,22.1512,1002,0,1,0
LEO_01,LEO,7797.6,550,-12298.69,-83.72,2.4,36.6479,983,0,1,0
HAPS_01,HAPS,8.87,20,-482.89,-63.86,6.13,43.7071,977,0,0,0
HAPS_01,HAPS,3.55,20,241.32,-60.11,11.45,80.0701,964,2,0,1
MEO_01,MEO,3900.04,8000,8404.33,-94.83,0.04,66.9653,1025,2,2,0
HAPS_01,HAPS,23.8,20,-64.6,-65.78,8.8,54.1713,983,0,0,0
HAPS_01,HAPS,5.67,20,-194.61,-64.2,9.33,61.9708,956,0,0,0
MEO_01,MEO,3906.8,8000,3479.45,-93.16,6.8,23.918,1024,0,2,0
LEO_01,LEO,7798.7,550,46472.85,-83.76,1.3,44.7568,1045,0,1,0
LEO_01,LEO,7802.12,550,21713.7,-87.63,2.12,0.7865,985,0,1,0
GEO_01,GEO,3106.66,35786,-709.76,-103.21,6.66,20.2091,992,0,3,0
HAPS_01,HAPS,3.57,20,-36.39,-66.24,11.43,109.5972,1040,2,0,1
LEO_01,LEO,7799.41,550,12198.32,-87.44,0.59,63.7063,1029,0,1,0
LEO_01,LEO,7805.65,550,28523.68,-86.87,5.65,55.492,991,0,1,0
HAPS_01,HAPS,19.49,20,-74.53,-65.5,4.49,29.9852,1026,1,0,0
GEO_01,GEO,3095.3,35786,-618.96,-106.84,4.7,49.3036,984,0,3,0
MEO_01,MEO,3895.63,8000,-5232.66,-95.17,4.37,47.714,1046,0,2,0
MEO_01,MEO,3897.55,8000,9316.21,-92.83,2.45,57.7732,1021,0,2,0
GEO_01,GEO,541.92,35786,720.73,-105.26,2558.08,91.9438,960,2,3,1
GEO_01,GEO,3109.37,35786,-251.88,-105.13,9.37,51.3376,957,0,3,0
HAPS_01,HAPS,17.42,20,408.19,-67.52,2.42,31.7752,1041,1,0,0
GEO_01,GEO,3098.34,35786,-484.88,-109.66,1.66,5202.1026,995,2,3,1
MEO_01,MEO,3894.31,8000,2472.26,-96.9,5.69,51.6392,985,0,2,0
GEO_01,GEO,3090.06,35786,709.77,-106.31,9.94,66.7226,973,0,3,0
MEO_01,MEO,3906.75,8000,5418.12,-94.41,6.75,31.5641,0,2,2,1
GEO_01,GEO,3095.02,35786,-350.21,-104.32,4.98,49.8646,975,0,3,0
GEO_01,GEO,3104.42,35786,-796.64,-106.8,4.42,16.2805,969,1,3,0
GEO_01,GEO,3096.95,35786,714.44,-105.11,3.05,71.0127,1039,0,3,0
GEO_01,GEO,3099.84,35786,703.28,-107.09,0.16,54.6201,959,0,3,0
GEO_01,GEO,3101.29,35786,360.47,-106.57,1.29,52.0944,1017,1,3,0
LEO_01,LEO,7807.48,550,6895.18,-84.96,7.48,49.7235,968,0,1,0
HAPS_01,HAPS,5.0,20,99.46,-67.15,10.0,23.1015,1040,0,0,0
MEO_01,MEO,3896.46,8000,7788.38,-94.47,3.54,34.045,956,0,2,0
HAPS_01,HAPS,19.91,20,-192.61,-66.46,4.91,45.2646,1000,0,0,0
MEO_01,MEO,3907.94,8000,-5954.17,-96.98,7.94,60.2441,982,1,2,0
GEO_01,GEO,3106.49,35786,-91.75,-103.6,6.49,54.0271,1045,0,3,0
HAPS_01,HAPS,6.85,20,-8.42,-63.08,8.15,37.201,983,0,0,0
LEO_01,LEO,7792.12,550,47536.71,-87.46,7.88,32.0499,959,0,1,0
MEO_01,MEO,3895.3,8000,-3925.38,-96.07,4.7,30.8711,968,0,2,0
LEO_01,LEO,7790.29,550,-29353.48,-87.62,9.71,45.6298,0,2,1,1
GEO_01,GEO,3099.36,35786,-991.97,-103.27,0.64,16.4237,978,0,3,0
HAPS_01,HAPS,12.23,20,361.84,-66.88,2.77,49.0449,993,0,0,0
LEO_01,LEO,7799.68,550,13214.29,-87.31,0.32,17.76,0,2,1,1
HAPS_01,HAPS,10.53,20,-303.8,-63.03,4.47,37.0586,0,2,0,1
MEO_01,MEO,3895.38,8000,-8929.16,-97.74,4.62,75.146,1035,1,2,0
HAPS_01,HAPS,14.46,20,258.61,-64.96,0.54,14.6898,950,0,0,0
LEO_01,LEO,7791.26,550,-23290.65,-82.03,8.74,33.6909,0,2,1,1
HAPS_01,HAPS,7.8,20,46.55,-66.9,7.2,68.5277,1017,1,0,0
HAPS_01,HAPS,10.57,20,460.52,-67.84,4.43,37.7103,965,0,0,0
GEO_01,GEO,3092.19,35786,583.83,-106.69,7.81,37.5691,984,0,3,0
MEO_01,MEO,3906.25,8000,5683.06,-93.1,6.25,42.7089,955,0,2,0
LEO_01,LEO,7799.64,550,-11201.96,-85.25,0.36,4.5191,1041,0,1,0
LEO_01,LEO,7786.52,550,-49783.11,-81.68,13.48,4746.1305,1033,2,1,1
LEO_01,LEO,7798.06,550,-39021.85,-84.65,1.94,59.4335,1016,0,1,0
MEO_01,MEO,3899.28,8000,9410.16,-96.34,0.72,36.0111,994,0,2,0
HAPS_01,HAPS,22.57,20,94.17,-66.47,7.57,50.9549,983,0,0,0
LEO_01,LEO,7806.52,550,-36417.72,-84.69,6.52,47.7836,0,2,1,1
HAPS_01,HAPS,10.89,20,-447.52,-65.73,4.11,43.31,0,2,0,1
HAPS_01,HAPS,3.24,20,-330.91,-66.5,11.76,4966.7703,1049,2,0,1
